Date,Year,Type,Area,Location,Sex,Injury,Fatal,Time,Species,AgeGroup,ActivityGroup,CleanedCountry,TimeOfDay,TimePeriod,country
2017-07-22,2017.0,Unprovoked,Florida,"Snipes Point, Monroe County",Female,Unknown,False,12h30,Unknown Shark,Adult,Other/Unknown,Other/Unknown,Afternoon,Afternoon,Unknown
2017-07-20,2017.0,Invalid,South Carolina,"Hilton Head Island, Beaufort County",Female,Unknown,False,,Unknown Shark,Child,In Water,Other/Unknown,Unknown,Unknown,United States
2017-07-20,2017.0,Boating,California,"Stearns Wharf, Santa Barbara",Male,No injury,False,11h20,Great White Shark,Adult,In Water,Other/Unknown,Morning,Morning,United States
2017-07-20,2017.0,Unprovoked,California,"Seal Rock, Goleta Beach, Santa Barbara",Male,No injury,False,07h45,Great White Shark,Adult,Other/Unknown,Other/Unknown,Morning,Morning,Unknown
2017-07-14,2017.0,Unprovoked,Washington,"South Beach, Westport, Grays Harbor County",Male,No injury,False,18h30,Great White Shark,,In Water,Other/Unknown,Evening,Evening,United States
2017-07-14,2017.0,Unprovoked,Western Australia,Floreat Beach,Male,Minor injury,False,11h45,Unknown Shark,,In Water,Oceania,Morning,Morning,Australia
2017-07-11,2017.0,Boating,California,"Santa Cruz, Santa Cruz County",Male,No injury,False,11h00,Great White Shark,,In Water,Other/Unknown,Morning,Morning,United States
2017-07-09,2017.0,Unprovoked,Florida,"Haulover Beach, Miami-Dade County",Male,Unknown,False,15h30,Bull Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,United States
,2017.0,Provoked,Tabasco,"SÃ¡nchez Magallanes, CÃ¡rdenas",Male,Unknown,False,,Tiger Shark,Adult,On Boat,North America,Unknown,Unknown,Unknown
2017-07-07,2017.0,Unprovoked,Eastern Cape Province,"Nahoon Reef, East London",Female,No injury,False,15h00,Great White Shark,Teen,In Water,Unknown,Afternoon,Afternoon,South Africa
2017-07-02,2017.0,Invalid,Anjouan,Moya,Unknown,Unknown,False,,Unknown Shark,,On Boat,Africa,Unknown,Unknown,Comores Komori جزر القمر
2017-06-29,2017.0,Invalid,South Carolina,Wrightsville Beach,Male,Unknown,False,19h30,Unknown Shark,,On Boat,Other/Unknown,Evening,Evening,United States
2017-06-21,2017.0,Unprovoked,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Female,Unknown,False,,Unknown Shark,Teen,In Water,Other/Unknown,Unknown,Unknown,United States
2017-06-19,2017.0,Unprovoked,Florida,"Singer Island, Palm Beach County",Male,Unknown,False,Morning,Unknown Shark,,In Water,Other/Unknown,Morning,Morning,United States
2017-06-18,2017.0,Unprovoked,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Female,Unknown,False,,Bull Shark,Teen,In Water,Other/Unknown,Unknown,Unknown,United States
2017-06-18,2017.0,Unprovoked,,Roches Noire,Male,No injury,False,10h00,Bull Shark,Adult,Other/Unknown,Africa,Morning,Morning,Unknown
2017-06-17,2017.0,Unprovoked,Ibiza Island,Playa DÂEn Bossa,Male,Unknown,False,12h00,Unknown Shark,Senior,In Water,Europe,Afternoon,Afternoon,Unknown
,2017.0,Unprovoked,Marquesas,"Atuona Bay, Hiva Oa Island",Male,Unknown,False,,Unknown Shark,,In Water,Oceania,Unknown,Unknown,Unknown
,2017.0,Unprovoked,,,Female,Unknown,False,,Unknown Shark,,Other/Unknown,North America,Unknown,Unknown,Unknown
2017-06-11,2017.0,Unprovoked,Western Australia,"Point Casuarina, Bunbury",Male,No injury,False,08h30,Great White Shark,Adult,Other/Unknown,Oceania,Morning,Morning,Unknown
2017-06-10,2017.0,Unprovoked,Victoria,"Flinders, Mornington Penisula",Female,No injury,False,15h45,Unknown Shark,,In Water,Oceania,Afternoon,Afternoon,Unknown
2017-06-10,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Male,Unknown,False,10h00,Unknown Shark,Teen,In Water,Other/Unknown,Morning,Morning,United States
,2017.0,Unprovoked,South Devon,Bantham Beach,Male,Unknown,False,,Smoothhound Shark,Adult,In Water,Europe,Unknown,Unknown,United Kingdom
2017-06-04,2017.0,Unprovoked,Florida,"Middle Sambo Reef Off Boca Chica, Monroe County",Male,Unknown,False,,Unknown Shark,,On Boat,Other/Unknown,Unknown,Unknown,Unknown
2017-06-02,2017.0,Unprovoked,New Providence ,Athol Island,Female,Unknown,False,Shortly before 12h00,Tiger Shark,Adult,Other/Unknown,North America,Afternoon,Afternoon,The Bahamas
2017-05-30,2017.0,Provoked,South Carolina,"Awendaw, Charleston County",Female,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Other/Unknown,Unknown,Unknown,United States
2017-05-28,2017.0,Unprovoked,Florida,Off Jupiter,Male,Unknown,False,Morning,Tiger Shark,,Other/Unknown,Other/Unknown,Morning,Morning,Unknown
2017-05-27,2017.0,Invalid,New South Wales,Evans Head,Male,Unknown,False,,Unknown Shark,Senior,On Boat,Oceania,Unknown,Unknown,Australia
2017-05-12,2017.0,Unprovoked,"Sharjah, ",Khor Fakkan,Male,Unknown,False,Morning,Unknown Shark,Adult,On Boat,Asia,Morning,Morning,الإمارات العربية المتحدة
,2017.0,Provoked,Queensland,Weipa,Male,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Oceania,Unknown,Unknown,Australia
2017-05-05,2017.0,Unprovoked,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Male,Fatal injury,True,17h00,Unknown Shark,Adult,Other/Unknown,North America,Afternoon,Evening,Unknown
2017-05-03,2017.0,Invalid,California,"Sunset Beach, Orange County",Female,Unknown,False,14h30,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,United States
2017-04-29,2017.0,Unprovoked,California,"San Onofre, San Diego County ",Female,Unknown,False,17h34,Unknown Shark,,In Water,Other/Unknown,Afternoon,Evening,United States
2017-04-29,2017.0,Unprovoked,Western Cape Province,"Keurbooms, Plettenberg Bay",Male,Minor injury,False,17h10,Unknown Shark,Teen,In Water,Unknown,Afternoon,Evening,South Africa
2017-04-29,2017.0,Unprovoked,South Carolina,"Folly Beach, Charleston County",Female,Unknown,False,11h00,Unknown Shark,Adult,In Water,Other/Unknown,Morning,Morning,United States
